Title,Brand,Price,ItemStatus,NbFavourite,UserRating,NbEvalUser,Description,URL
Dünner The North Face Pullover ,The North Face,15.0,3,9,5,9,"Er ist in einem sehr guten Zustand, da ich ihn kaum getragen habe. 

Preis inklusive Verpackungskosten und Sendungskosten.",https://www.vinted.fr/items/3441251300-dunner-the-north-face-pullover
The north Face Sweater,The North Face,20.0,4,2,5,9,"Schwarzer The North Face Sweater in guten Zustand 
Gr S
Bei Fragen gerne melden 👍",https://www.vinted.fr/items/5981080729-the-north-face-sweater
Pullover von the north face,The North Face,15.0,4,9,5,8,"verkauft wird ein grauer Pullover der Fa. the north face.
Er ist in einem sehr guten Zustand",https://www.vinted.fr/items/2383089397-pullover-von-the-north-face
North Face Sweatshirt,The North Face,15.0,4,0,3.9,41,Selten getragen,https://www.vinted.fr/items/5988998848-north-face-sweatshirt
North Face Pulli in grau,The North Face,10.0,4,5,5,178,"Leichtes Pilling und 2 kleine Flecken über der Tasche (kaum sichtbar). 
Sonst in einem guten getragenen Zustand.",https://www.vinted.fr/items/4357932841-north-face-pulli-in-grau
North Face Hoodie,The North Face,15.0,4,6,5,2,Guter Zustand,https://www.vinted.fr/items/1289655077-north-face-hoodie
North face Hoodie Größe L,The North Face,15.0,4,8,5,23,Verkauf hier einen Hoodie von north face in der Größe L Farbe blau,https://www.vinted.fr/items/5031871209-north-face-hoodie-grosse-l
Grauer Fleece Pullover Northface,The North Face,25.0,3,36,4.8,5,Noch im sehr guten Zustand.,https://www.vinted.fr/items/5490590465-grauer-fleece-pullover-northface
Oberteil ,The North Face,10.0,3,5,4.8,43,"The North Face cropped Oberteil von Asos gekauft np war 25€ 
2 mal getragen",https://www.vinted.fr/items/3335272922-oberteil
The North Face Sweater Vintage,The North Face,15.0,4,7,4.8,50,Ist eine Frauen L aber futter für männer wie ne s-m,https://www.vinted.fr/items/4224548261-the-north-face-sweater-vintage
The North Face Sweatshirt M mit Rückenprint,The North Face,10.0,4,5,5,2,"Guter Zustand
Mit Rückenprint
Rückenprint hat kleine Gebrauchsspuren vom Waschen siehe Bilder
Preis ist VB

Versand innerhalb Deutschlands",https://www.vinted.fr/items/4331318489-the-north-face-sweatshirt-m-mit-ruckenprint
The North Face Sweater Herren L,The North Face,30.0,3,5,5,363,"Marke: The North Face
Produkt: Sweatshirt für Herren
Print: The North Face Logo auf der Brust
Farbe: schwarz
Größe: L

#thenorthface #tnf #sweatshirt #sweater #black #sport",https://www.vinted.fr/items/5985880773-the-north-face-sweater-herren-l
The North Face,The North Face,9.99,4,4,5,16,"Gern getragen 
Leider zu klein 
Rest siehe Bilder
Lg",https://www.vinted.fr/items/2751895636-the-north-face
The North Face Sweatshirt Camouflage,The North Face,12.0,2,4,No rating,No evaluations,Fast nicht getragen,https://www.vinted.fr/items/5215737183-the-north-face-sweatshirt-camouflage
The North Face pullover ,The North Face,12.0,3,4,3,6,Gut fällt aber klein aus,https://www.vinted.fr/items/2903076240-the-north-face-pullover
Pullover the north Face in grau,The North Face,15.0,4,5,5,17,Bei Fragen gerne melden:),https://www.vinted.fr/items/5216814633-pullover-the-north-face-in-grau
Weißer Pullover von the North face,The North Face,11.99,2,4,4.7,16,"Nur einmal getragen, Zustand neu, 


Verkauf unter Ausschluss jeglicher Gewährleistung",https://www.vinted.fr/items/5382094368-weisser-pullover-von-the-north-face
Sweater,The North Face,10.0,4,4,5,36,"Gut erhalten.
Privatverkauf, keine Garantie & Rücknahme.

Bei Interesse gern melden, Preis VHB.",https://www.vinted.fr/items/4862550849-sweater
The North Face Pullover,The North Face,20.0,4,18,No rating,No evaluations,The North Face Sweater,https://www.vinted.fr/items/5199837623-the-north-face-pullover
The North Face Sweater Gr. M,The North Face,18.0,3,6,5,228,"Artikel wurde gewaschen jedoch noch nicht getragen.
Das Logo ist aufgestickt, nicht gedruckt.",https://www.vinted.fr/items/5930942554-the-north-face-sweater-gr-m
The North Face Sweatshirt,The North Face,22.0,4,11,4.8,33,Verkaufe nicht übers System:),https://www.vinted.fr/items/5127764177-the-north-face-sweatshirt
North Face sweater,The North Face,20.0,4,30,4.4,41,hochwertiger Stoff,https://www.vinted.fr/items/829758392-north-face-sweater
The North Face Sweatshirt Größe L TNF khaki Grün shirt langarm Sweater,The North Face,20.0,3,16,5,13,TNF Sweatshirt mit TNF Aufdruck in Größe L,https://www.vinted.fr/items/4180636437-the-north-face-sweatshirt-grosse-l-tnf-khaki-grun-shirt-langarm-sweater
Hoodie The north face,The North Face,15.0,4,9,No rating,No evaluations,Je vends plusieurs sweat suite à un changement de poids,https://www.vinted.fr/items/6039113161-hoodie-the-north-face
